,filename,mask_filename,category,manipulation,difficulty,mask,type_occl,size_occl,,
0,Stimulus\all_stim\occlusion\many_small\partial_viewing\low\manysmallpartialViewinglowmatched_building3.png,./mask_img/grey_square.png,building,occlusion,low,no mask,partial viewing,many small,,training and images should be different
1,Stimulus\all_stim\control\control_person9.png,mask_img/000000023874.png,person,control,control,mask,,,,
2,Stimulus\all_stim\occlusion\many_small\partial_viewing\low\manysmallpartialViewinglowmatched_tree4.png,mask_img/000000140292.png,tree,occlusion,low,mask,partial viewing,many small,,
3,Stimulus\all_stim\occlusion\many_small\partial_viewing\low\manysmallpartialViewinglowmatched_bird7.png,mask_img/000000133672.png,bird,occlusion,low,mask,partial viewing,many small,,
4,Stimulus\all_stim\occlusion\many_small\partial_viewing\high\manysmallpartialViewinghighmatched_banana9.png,./mask_img/grey_square.png,banana,occlusion,high,no mask,partial viewing,many small,,
5,Stimulus\all_stim\occlusion\many_small\deletion\low\manysmalldeletionlowfirehydrant4.png,mask_img/000000117515.png,firehydrant,occlusion,low,mask,deletion,many small,,
6,Stimulus\all_stim\clutter\light_clutter\lightclutterperson10.png,mask_img/000000014677.png,person,clutter,light,mask,,,,
7,Stimulus\all_stim\occlusion\few_large\partial_viewing\high\fewlargepartialViewinghighmatched_person7.png,mask_img/000000072000.png,person,occlusion,high,mask,partial viewing,few large,,
8,Stimulus\all_stim\occlusion\few_large\deletion\low\fewlargedeletionlowtree5.png,mask_img/000000063353.png,tree,occlusion,low,mask,deletion,few large,,
9,Stimulus\all_stim\occlusion\few_large\blobs\high\fewlargeblobhighmatched_cat8.png,./mask_img/grey_square.png,cat,occlusion,high,no mask,blob,few large,,
10,Stimulus\all_stim\occlusion\few_large\deletion\low\fewlargedeletionlowtree2.png,./mask_img/grey_square.png,tree,occlusion,low,no mask,deletion,few large,,
11,Stimulus\all_stim\occlusion\few_large\deletion\low\fewlargedeletionlowcat10.png,./mask_img/grey_square.png,cat,occlusion,low,no mask,deletion,few large,,
12,Stimulus\all_stim\occlusion\few_large\partial_viewing\low\fewlargepartialViewinglowmatched_firehydrant3.png,mask_img/000000080066.png,firehydrant,occlusion,low,mask,partial viewing,few large,,
13,Stimulus\all_stim\occlusion\many_small\deletion\low\manysmalldeletionlowbanana1.png,mask_img/000000110500.png,banana,occlusion,low,mask,deletion,many small,,
14,Stimulus\all_stim\occlusion\few_large\deletion\low\fewlargedeletionlowperson5.png,mask_img/000000062540.png,person,occlusion,low,mask,deletion,few large,,
15,Stimulus\all_stim\control\control_banana4.png,./mask_img/grey_square.png,banana,control,control,no mask,,,,
16,Stimulus\all_stim\occlusion\many_small\blobs\high\manysmallblobhighmatched_banana6.png,mask_img/000000083808.png,banana,occlusion,high,mask,blob,many small,,
17,Stimulus\all_stim\occlusion\many_small\partial_viewing\high\manysmallpartialViewinghighmatched_building7.png,mask_img/000000123177.png,building,occlusion,high,mask,partial viewing,many small,,
18,Stimulus\all_stim\occlusion\many_small\blobs\high\manysmallblobhighmatched_banana8.png,./mask_img/grey_square.png,banana,occlusion,high,no mask,blob,many small,,
19,Stimulus\all_stim\occlusion\many_small\blobs\low\manysmallbloblowmatched_cat6.png,mask_img/000000098563.png,cat,occlusion,low,mask,blob,many small,,
20,Stimulus\all_stim\occlusion\many_small\deletion\low\manysmalldeletionlowbus6.png,mask_img/000000115144.png,bus,occlusion,low,mask,deletion,many small,,
21,Stimulus\all_stim\occlusion\many_small\deletion\low\manysmalldeletionlowbanana6.png,mask_img/000000111211.png,banana,occlusion,low,mask,deletion,many small,,
22,Stimulus\all_stim\occlusion\many_small\blobs\low\manysmallbloblowmatched_firehydrant2.png,mask_img/000000099247.png,firehydrant,occlusion,low,mask,blob,many small,,
23,Stimulus\all_stim\occlusion\few_large\partial_viewing\low\fewlargepartialViewinglowmatched_person6.png,mask_img/000000081485.png,person,occlusion,low,mask,partial viewing,few large,,
24,Stimulus\all_stim\occlusion\many_small\blobs\high\manysmallblobhighmatched_bus10.png,mask_img/000000086832.png,bus,occlusion,high,mask,blob,many small,,
25,Stimulus\all_stim\occlusion\many_small\blobs\high\manysmallblobhighmatched_cat3.png,mask_img/000000088325.png,cat,occlusion,high,mask,blob,many small,,
26,Stimulus\all_stim\occlusion\few_large\deletion\low\fewlargedeletionlowtree6.png,mask_img/000000063403.png,tree,occlusion,low,mask,deletion,few large,,
27,Stimulus\all_stim\occlusion\many_small\partial_viewing\high\manysmallpartialViewinghighmatched_bird9.png,mask_img/000000122639.png,bird,occlusion,high,mask,partial viewing,many small,,
28,Stimulus\all_stim\occlusion\few_large\deletion\high\fewlargedeletionhighcat5.png,mask_img/000000050592.png,cat,occlusion,high,mask,deletion,few large,,
29,Stimulus\all_stim\occlusion\few_large\deletion\low\fewlargedeletionlowtree3.png,./mask_img/grey_square.png,tree,occlusion,low,no mask,deletion,few large,,
30,Stimulus\all_stim\scrambling\lowpass\lp_matched_tree4.png,./mask_img/grey_square.png,tree,scrambling,lp_,no mask,,,,
31,Stimulus\all_stim\occlusion\few_large\partial_viewing\high\fewlargepartialViewinghighmatched_cat3.png,mask_img/000000068740.png,cat,occlusion,high,mask,partial viewing,few large,,
32,Stimulus\all_stim\clutter\heavy_clutter\heavyclutterperson9.png,./mask_img/grey_square.png,person,clutter,heavy,no mask,,,,
33,Stimulus\all_stim\clutter\light_clutter\lightclutterbus6.png,mask_img/000000012817.png,bus,clutter,light,mask,,,,
34,Stimulus\all_stim\clutter\light_clutter\lightcluttercat1.png,mask_img/000000012953.png,cat,clutter,light,mask,,,,
35,Stimulus\all_stim\occlusion\few_large\blobs\low\fewlargebloblowmatched_bird10.png,./mask_img/grey_square.png,bird,occlusion,low,no mask,blob,few large,,
36,Stimulus\all_stim\occlusion\many_small\blobs\high\manysmallblobhighmatched_building3.png,./mask_img/grey_square.png,building,occlusion,high,no mask,blob,many small,,
37,Stimulus\all_stim\occlusion\many_small\deletion\low\manysmalldeletionlowperson1.png,mask_img/000000117993.png,person,occlusion,low,mask,deletion,many small,,
38,Stimulus\all_stim\occlusion\many_small\partial_viewing\low\manysmallpartialViewinglowmatched_person3.png,./mask_img/grey_square.png,person,occlusion,low,no mask,partial viewing,many small,,
39,Stimulus\all_stim\scrambling\highpass\hp_matched_person10.png,mask_img/000000147595.png,person,scrambling,hp_,mask,,,,
40,Stimulus\all_stim\clutter\light_clutter\lightclutterbanana6.png,./mask_img/grey_square.png,banana,clutter,light,no mask,,,,
